Test,Threads,Time,Count,Verified
36,32,0.006965,166804,166804
37,32,0.006938,166804,166804
38,32,0.006981,166804,166804
39,32,0.006963,166804,166804
40,32,0.006994,166804,166804
41,32,0.006974,166804,166804
42,32,0.007007,166804,166804
43,32,0.006970,166804,166804
44,32,0.006882,166804,166804
45,32,0.006998,166804,166804
46,32,0.007176,166804,166804
47,32,0.006960,166804,166804
48,32,0.006991,166804,166804
49,32,0.006885,166804,166804
50,32,0.007020,166804,166804
51,32,0.007053,166804,166804
52,32,0.006968,166804,166804
53,32,0.007003,166804,166804
54,32,0.006939,166804,166804
55,32,0.006967,166804,166804
56,32,0.007026,166804,166804
57,32,0.006917,166804,166804
58,32,0.006935,166804,166804
59,32,0.006955,166804,166804
60,32,0.006958,166804,166804
61,32,0.006887,166804,166804
62,32,0.006841,166804,166804
63,32,0.006905,166804,166804
64,32,0.007123,166804,166804
65,32,0.006980,166804,166804
66,32,0.006896,166804,166804
67,32,0.006896,166804,166804
68,32,0.006996,166804,166804
69,32,0.006875,166804,166804
70,32,0.006943,166804,166804
71,32,0.006955,166804,166804
72,32,0.006913,166804,166804
73,32,0.006986,166804,166804
74,32,0.006930,166804,166804
75,32,0.006962,166804,166804
76,32,0.006966,166804,166804
77,32,0.006964,166804,166804
78,32,0.006966,166804,166804
79,32,0.006914,166804,166804
80,32,0.006951,166804,166804
81,32,0.006995,166804,166804
82,32,0.006992,166804,166804
83,32,0.007004,166804,166804
84,32,0.006642,166804,166804
85,32,0.007052,166804,166804
86,32,0.006850,166804,166804
87,32,0.006958,166804,166804
88,32,0.006960,166804,166804
89,32,0.006856,166804,166804
90,32,0.006998,166804,166804
91,32,0.006919,166804,166804
92,32,0.007135,166804,166804
93,32,0.007138,166804,166804
94,32,0.007027,166804,166804
95,32,0.006931,166804,166804
96,32,0.006986,166391,166391
97,32,0.006916,166391,166391
98,32,0.006984,166391,166391
99,32,0.006924,166391,166391
100,32,0.006957,166391,166391
